CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Nepal,Processing,2016.0,1000 tonnes,0.0,Im
Peru,Processing,2016.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2016.0,1000 tonnes,0.0,Im
Viet Nam,Processing,2016.0,1000 tonnes,0.0,Im
Angola,Processing,2015.0,1000 tonnes,1798.0,Im
Ecuador,Processing,2015.0,1000 tonnes,671.0,Im
Indonesia,Processing,2015.0,1000 tonnes,380.0,Im
United Republic of Tanzania,Processing,2015.0,1000 tonnes,358.0,Im
Dominican Republic,Processing,2015.0,1000 tonnes,345.0,Im
Thailand,Processing,2015.0,1000 tonnes,311.0,Im
Burundi,Processing,2015.0,1000 tonnes,256.0,Im
Poland,Processing,2015.0,1000 tonnes,176.0,Im
Spain,Processing,2015.0,1000 tonnes,165.0,Im
United States of America,Processing,2015.0,1000 tonnes,85.0,Im
Sweden,Processing,2015.0,1000 tonnes,81.0,Im
Australia and New Zealand,Processing,2015.0,1000 tonnes,44.0,A
China,Processing,2015.0,1000 tonnes,42.0,A
Other non-specified areas,Processing,2015.0,1000 tonnes,42.0,Im
Turkey,Processing,2015.0,1000 tonnes,40.0,Im
Guatemala,Processing,2015.0,1000 tonnes,24.0,Im
New Zealand,Processing,2015.0,1000 tonnes,24.0,Im
Netherlands,Processing,2015.0,1000 tonnes,23.0,Im
Ireland,Processing,2015.0,1000 tonnes,21.0,Im
Australia,Processing,2015.0,1000 tonnes,20.0,Im
Cambodia,Processing,2015.0,1000 tonnes,17.0,Im
Portugal,Processing,2015.0,1000 tonnes,4.0,Im
Republic of Moldova,Processing,2015.0,1000 tonnes,3.0,Im
Albania,Processing,2015.0,1000 tonnes,2.0,Im
Costa Rica,Processing,2015.0,1000 tonnes,2.0,Im
Côte d'Ivoire,Processing,2015.0,1000 tonnes,2.0,Im
Lithuania,Processing,2015.0,1000 tonnes,2.0,Im
Slovakia,Processing,2015.0,1000 tonnes,2.0,Im
Finland,Processing,2015.0,1000 tonnes,1.0,Im
Mexico,Processing,2015.0,1000 tonnes,1.0,Im
Bolivia (Plurinational State of),Processing,2015.0,1000 tonnes,0.0,Im
Brazil,Processing,2015.0,1000 tonnes,0.0,Im
Colombia,Processing,2015.0,1000 tonnes,0.0,Im
El Salvador,Processing,2015.0,1000 tonnes,0.0,Im
Israel,Processing,2015.0,1000 tonnes,0.0,Im
Myanmar,Processing,2015.0,1000 tonnes,0.0,Im
Nepal,Processing,2015.0,1000 tonnes,0.0,Im
Peru,Processing,2015.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2015.0,1000 tonnes,0.0,Im
Viet Nam,Processing,2015.0,1000 tonnes,0.0,Im
Angola,Processing,2014.0,1000 tonnes,1742.0,Im
Ecuador,Processing,2014.0,1000 tonnes,563.0,Im
Thailand,Processing,2014.0,1000 tonnes,485.0,Im
Burundi,Processing,2014.0,1000 tonnes,404.0,Im
United Republic of Tanzania,Processing,2014.0,1000 tonnes,319.0,Im
Indonesia,Processing,2014.0,1000 tonnes,275.0,Im
Spain,Processing,2014.0,1000 tonnes,204.0,Im
Poland,Processing,2014.0,1000 tonnes,165.0,Im
Dominican Republic,Processing,2014.0,1000 tonnes,160.0,Im
United States of America,Processing,2014.0,1000 tonnes,85.0,Im
Sweden,Processing,2014.0,1000 tonnes,74.0,Im
Australia and New Zealand,Processing,2014.0,1000 tonnes,48.0,A
China,Processing,2014.0,1000 tonnes,46.0,A
Other non-specified areas,Processing,2014.0,1000 tonnes,46.0,Im
Turkey,Processing,2014.0,1000 tonnes,37.0,Im
New Zealand,Processing,2014.0,1000 tonnes,27.0,Im
Ireland,Processing,2014.0,1000 tonnes,24.0,Im
Australia,Processing,2014.0,1000 tonnes,20.0,Im
Guatemala,Processing,2014.0,1000 tonnes,20.0,Im
Cambodia,Processing,2014.0,1000 tonnes,17.0,Im
Netherlands,Processing,2014.0,1000 tonnes,13.0,Im
Portugal,Processing,2014.0,1000 tonnes,3.0,Im
Republic of Moldova,Processing,2014.0,1000 tonnes,3.0,Im
Albania,Processing,2014.0,1000 tonnes,2.0,Im
Côte d'Ivoire,Processing,2014.0,1000 tonnes,2.0,Im
Lithuania,Processing,2014.0,1000 tonnes,2.0,Im
Costa Rica,Processing,2014.0,1000 tonnes,1.0,Im
Finland,Processing,2014.0,1000 tonnes,1.0,Im
Israel,Processing,2014.0,1000 tonnes,1.0,Im
Mexico,Processing,2014.0,1000 tonnes,1.0,Im
Slovakia,Processing,2014.0,1000 tonnes,1.0,Im
Bolivia (Plurinational State of),Processing,2014.0,1000 tonnes,0.0,Im
Brazil,Processing,2014.0,1000 tonnes,0.0,Im
Colombia,Processing,2014.0,1000 tonnes,0.0,Im
El Salvador,Processing,2014.0,1000 tonnes,0.0,Im
Myanmar,Processing,2014.0,1000 tonnes,0.0,Im
Nepal,Processing,2014.0,1000 tonnes,0.0,Im
Peru,Processing,2014.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2014.0,1000 tonnes,0.0,Im
Viet Nam,Processing,2014.0,1000 tonnes,0.0,Im
Angola,Processing,2013.0,1000 tonnes,1548.0,Im
Thailand,Processing,2013.0,1000 tonnes,376.0,Im
Ecuador,Processing,2013.0,1000 tonnes,367.0,Im
Dominican Republic,Processing,2013.0,1000 tonnes,268.0,Im
United Republic of Tanzania,Processing,2013.0,1000 tonnes,268.0,Im
Indonesia,Processing,2013.0,1000 tonnes,251.0,Im
Poland,Processing,2013.0,1000 tonnes,148.0,Im
Spain,Processing,2013.0,1000 tonnes,110.0,Im
United States of America,Processing,2013.0,1000 tonnes,86.0,Im
Sweden,Processing,2013.0,1000 tonnes,73.0,Im
Australia and New Zealand,Processing,2013.0,1000 tonnes,44.0,A
China,Processing,2013.0,1000 tonnes,44.0,A
Other non-specified areas,Processing,2013.0,1000 tonnes,44.0,Im
Turkey,Processing,2013.0,1000 tonnes,36.0,Im
Australia,Processing,2013.0,1000 tonnes,26.0,Im
Guatemala,Processing,2013.0,1000 tonnes,20.0,Im
New Zealand,Processing,2013.0,1000 tonnes,18.0,Im
Cambodia,Processing,2013.0,1000 tonnes,17.0,Im
Ireland,Processing,2013.0,1000 tonnes,13.0,Im
Netherlands,Processing,2013.0,1000 tonnes,13.0,Im
Côte d'Ivoire,Processing,2013.0,1000 tonnes,7.0,Im
Lithuania,Processing,2013.0,1000 tonnes,6.0,Im
Costa Rica,Processing,2013.0,1000 tonnes,3.0,Im
Portugal,Processing,2013.0,1000 tonnes,3.0,Im
Republic of Moldova,Processing,2013.0,1000 tonnes,3.0,Im
Albania,Processing,2013.0,1000 tonnes,2.0,Im
Finland,Processing,2013.0,1000 tonnes,1.0,Im
Israel,Processing,2013.0,1000 tonnes,1.0,Im
Mexico,Processing,2013.0,1000 tonnes,1.0,Im
Slovakia,Processing,2013.0,1000 tonnes,1.0,Im
Afghanistan,Processing,2013.0,1000 tonnes,0.0,Im
Bangladesh,Processing,2013.0,1000 tonnes,0.0,Im
Belgium,Processing,2013.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2013.0,1000 tonnes,0.0,Im
Brazil,Processing,2013.0,1000 tonnes,0.0,Im
Bulgaria,Processing,2013.0,1000 tonnes,0.0,Im
Burkina Faso,Processing,2013.0,1000 tonnes,0.0,Im
Cameroon,Processing,2013.0,1000 tonnes,0.0,Im
Central African Republic,Processing,2013.0,1000 tonnes,0.0,Im
Chad,Processing,2013.0,1000 tonnes,0.0,Im
Colombia,Processing,2013.0,1000 tonnes,0.0,Im
Congo,Processing,2013.0,1000 tonnes,0.0,Im
Democratic People's Republic of Korea,Processing,2013.0,1000 tonnes,0.0,Im
El Salvador,Processing,2013.0,1000 tonnes,0.0,Im
Estonia,Processing,2013.0,1000 tonnes,0.0,Im
Ethiopia,Processing,2013.0,1000 tonnes,0.0,Im
France,Processing,2013.0,1000 tonnes,0.0,Im
Guinea,Processing,2013.0,1000 tonnes,0.0,Im
Haiti,Processing,2013.0,1000 tonnes,0.0,Im
Iraq,Processing,2013.0,1000 tonnes,0.0,Im
Italy,Processing,2013.0,1000 tonnes,0.0,Im
Kenya,Processing,2013.0,1000 tonnes,0.0,Im
Madagascar,Processing,2013.0,1000 tonnes,0.0,Im
Malawi,Processing,2013.0,1000 tonnes,0.0,Im
Mozambique,Processing,2013.0,1000 tonnes,0.0,Im
Myanmar,Processing,2013.0,1000 tonnes,0.0,Im
Nepal,Processing,2013.0,1000 tonnes,0.0,Im
Niger,Processing,2013.0,1000 tonnes,0.0,Im
Nigeria,Processing,2013.0,1000 tonnes,0.0,Im
North Macedonia,Processing,2013.0,1000 tonnes,0.0,Im
Pakistan,Processing,2013.0,1000 tonnes,0.0,Im
Panama,Processing,2013.0,1000 tonnes,0.0,Im
Peru,Processing,2013.0,1000 tonnes,0.0,Im
Rwanda,Processing,2013.0,1000 tonnes,0.0,Im
Senegal,Processing,2013.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2013.0,1000 tonnes,0.0,Im
Syrian Arab Republic,Processing,2013.0,1000 tonnes,0.0,Im
Tajikistan,Processing,2013.0,1000 tonnes,0.0,Im
Uganda,Processing,2013.0,1000 tonnes,0.0,Im
Uzbekistan,Processing,2013.0,1000 tonnes,0.0,Im
Venezuela (Bolivarian Republic of),Processing,2013.0,1000 tonnes,0.0,Im
Viet Nam,Processing,2013.0,1000 tonnes,0.0,Im
Yemen,Processing,2013.0,1000 tonnes,0.0,Im
Zambia,Processing,2013.0,1000 tonnes,0.0,Im
Zimbabwe,Processing,2013.0,1000 tonnes,0.0,Im
Angola,Processing,2012.0,1000 tonnes,1496.0,Im
Ecuador,Processing,2012.0,1000 tonnes,1053.0,Im
Thailand,Processing,2012.0,1000 tonnes,353.0,Im
United Republic of Tanzania,Processing,2012.0,1000 tonnes,252.0,Im
Indonesia,Processing,2012.0,1000 tonnes,248.0,Im
Dominican Republic,Processing,2012.0,1000 tonnes,204.0,Im
Spain,Processing,2012.0,1000 tonnes,120.0,Im
Poland,Processing,2012.0,1000 tonnes,107.0,Im
United States of America,Processing,2012.0,1000 tonnes,78.0,Im
Sweden,Processing,2012.0,1000 tonnes,65.0,Im
Australia and New Zealand,Processing,2012.0,1000 tonnes,45.0,A
China,Processing,2012.0,1000 tonnes,44.0,A
Other non-specified areas,Processing,2012.0,1000 tonnes,44.0,Im
Turkey,Processing,2012.0,1000 tonnes,35.0,Im
Australia,Processing,2012.0,1000 tonnes,23.0,Im
New Zealand,Processing,2012.0,1000 tonnes,22.0,Im
Cambodia,Processing,2012.0,1000 tonnes,17.0,Im
Ireland,Processing,2012.0,1000 tonnes,17.0,Im
Guatemala,Processing,2012.0,1000 tonnes,16.0,Im
Netherlands,Processing,2012.0,1000 tonnes,11.0,Im
Costa Rica,Processing,2012.0,1000 tonnes,3.0,Im
Portugal,Processing,2012.0,1000 tonnes,3.0,Im
Republic of Moldova,Processing,2012.0,1000 tonnes,3.0,Im
Albania,Processing,2012.0,1000 tonnes,2.0,Im
Finland,Processing,2012.0,1000 tonnes,1.0,Im
Israel,Processing,2012.0,1000 tonnes,1.0,Im
Mexico,Processing,2012.0,1000 tonnes,1.0,Im
Slovakia,Processing,2012.0,1000 tonnes,1.0,Im
Afghanistan,Processing,2012.0,1000 tonnes,0.0,Im
Bangladesh,Processing,2012.0,1000 tonnes,0.0,Im
Belgium,Processing,2012.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2012.0,1000 tonnes,0.0,Im
Brazil,Processing,2012.0,1000 tonnes,0.0,Im
Bulgaria,Processing,2012.0,1000 tonnes,0.0,Im
Burkina Faso,Processing,2012.0,1000 tonnes,0.0,Im
Cameroon,Processing,2012.0,1000 tonnes,0.0,Im
Central African Republic,Processing,2012.0,1000 tonnes,0.0,Im
Chad,Processing,2012.0,1000 tonnes,0.0,Im
Colombia,Processing,2012.0,1000 tonnes,0.0,Im
Congo,Processing,2012.0,1000 tonnes,0.0,Im
Côte d'Ivoire,Processing,2012.0,1000 tonnes,0.0,Im
Democratic People's Republic of Korea,Processing,2012.0,1000 tonnes,0.0,Im
El Salvador,Processing,2012.0,1000 tonnes,0.0,Im
Estonia,Processing,2012.0,1000 tonnes,0.0,Im
Ethiopia,Processing,2012.0,1000 tonnes,0.0,Im
France,Processing,2012.0,1000 tonnes,0.0,Im
Guinea,Processing,2012.0,1000 tonnes,0.0,Im
Haiti,Processing,2012.0,1000 tonnes,0.0,Im
Iraq,Processing,2012.0,1000 tonnes,0.0,Im
Italy,Processing,2012.0,1000 tonnes,0.0,Im
Kenya,Processing,2012.0,1000 tonnes,0.0,Im
Lithuania,Processing,2012.0,1000 tonnes,0.0,Im
Madagascar,Processing,2012.0,1000 tonnes,0.0,Im
Malawi,Processing,2012.0,1000 tonnes,0.0,Im
Mozambique,Processing,2012.0,1000 tonnes,0.0,Im
Myanmar,Processing,2012.0,1000 tonnes,0.0,Im
Nepal,Processing,2012.0,1000 tonnes,0.0,Im
Niger,Processing,2012.0,1000 tonnes,0.0,Im
Nigeria,Processing,2012.0,1000 tonnes,0.0,Im
North Macedonia,Processing,2012.0,1000 tonnes,0.0,Im
Pakistan,Processing,2012.0,1000 tonnes,0.0,Im
Panama,Processing,2012.0,1000 tonnes,0.0,Im
Peru,Processing,2012.0,1000 tonnes,0.0,Im
Rwanda,Processing,2012.0,1000 tonnes,0.0,Im
Senegal,Processing,2012.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2012.0,1000 tonnes,0.0,Im
Syrian Arab Republic,Processing,2012.0,1000 tonnes,0.0,Im
Tajikistan,Processing,2012.0,1000 tonnes,0.0,Im
Uganda,Processing,2012.0,1000 tonnes,0.0,Im
Uzbekistan,Processing,2012.0,1000 tonnes,0.0,Im
Venezuela (Bolivarian Republic of),Processing,2012.0,1000 tonnes,0.0,Im
Viet Nam,Processing,2012.0,1000 tonnes,0.0,Im
Yemen,Processing,2012.0,1000 tonnes,0.0,Im
Zambia,Processing,2012.0,1000 tonnes,0.0,Im
Zimbabwe,Processing,2012.0,1000 tonnes,0.0,Im
Angola,Processing,2011.0,1000 tonnes,1323.0,Im
Ecuador,Processing,2011.0,1000 tonnes,933.0,Im
Thailand,Processing,2011.0,1000 tonnes,409.0,Im
United Republic of Tanzania,Processing,2011.0,1000 tonnes,314.0,Im
Indonesia,Processing,2011.0,1000 tonnes,245.0,Im
Dominican Republic,Processing,2011.0,1000 tonnes,180.0,Im
Poland,Processing,2011.0,1000 tonnes,120.0,Im
Spain,Processing,2011.0,1000 tonnes,100.0,Im
United States of America,Processing,2011.0,1000 tonnes,78.0,Im
Sweden,Processing,2011.0,1000 tonnes,50.0,Im
China,Processing,2011.0,1000 tonnes,46.0,A
Other non-specified areas,Processing,2011.0,1000 tonnes,46.0,Im
Australia and New Zealand,Processing,2011.0,1000 tonnes,36.0,A
Ireland,Processing,2011.0,1000 tonnes,35.0,Im
Turkey,Processing,2011.0,1000 tonnes,35.0,Im
Guatemala,Processing,2011.0,1000 tonnes,21.0,Im
New Zealand,Processing,2011.0,1000 tonnes,19.0,Im
Cambodia,Processing,2011.0,1000 tonnes,17.0,Im
Australia,Processing,2011.0,1000 tonnes,16.0,Im
Netherlands,Processing,2011.0,1000 tonnes,9.0,Im
Côte d'Ivoire,Processing,2011.0,1000 tonnes,4.0,Im
Portugal,Processing,2011.0,1000 tonnes,3.0,Im
Republic of Moldova,Processing,2011.0,1000 tonnes,3.0,Im
Albania,Processing,2011.0,1000 tonnes,2.0,Im
Slovakia,Processing,2011.0,1000 tonnes,2.0,Im
Costa Rica,Processing,2011.0,1000 tonnes,1.0,Im
Finland,Processing,2011.0,1000 tonnes,1.0,Im
Mexico,Processing,2011.0,1000 tonnes,1.0,Im
Afghanistan,Processing,2011.0,1000 tonnes,0.0,Im
Bangladesh,Processing,2011.0,1000 tonnes,0.0,Im
Belgium,Processing,2011.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2011.0,1000 tonnes,0.0,Im
Brazil,Processing,2011.0,1000 tonnes,0.0,Im
Bulgaria,Processing,2011.0,1000 tonnes,0.0,Im
Burkina Faso,Processing,2011.0,1000 tonnes,0.0,Im
Cameroon,Processing,2011.0,1000 tonnes,0.0,Im
Central African Republic,Processing,2011.0,1000 tonnes,0.0,Im
Chad,Processing,2011.0,1000 tonnes,0.0,Im
Colombia,Processing,2011.0,1000 tonnes,0.0,Im
Congo,Processing,2011.0,1000 tonnes,0.0,Im
Democratic People's Republic of Korea,Processing,2011.0,1000 tonnes,0.0,Im
El Salvador,Processing,2011.0,1000 tonnes,0.0,Im
Estonia,Processing,2011.0,1000 tonnes,0.0,Im
Ethiopia,Processing,2011.0,1000 tonnes,0.0,Im
France,Processing,2011.0,1000 tonnes,0.0,Im
Guinea,Processing,2011.0,1000 tonnes,0.0,Im
Haiti,Processing,2011.0,1000 tonnes,0.0,Im
Iraq,Processing,2011.0,1000 tonnes,0.0,Im
Israel,Processing,2011.0,1000 tonnes,0.0,Im
Italy,Processing,2011.0,1000 tonnes,0.0,Im
Kenya,Processing,2011.0,1000 tonnes,0.0,Im
Lithuania,Processing,2011.0,1000 tonnes,0.0,Im
Madagascar,Processing,2011.0,1000 tonnes,0.0,Im
Malawi,Processing,2011.0,1000 tonnes,0.0,Im
Mozambique,Processing,2011.0,1000 tonnes,0.0,Im
Myanmar,Processing,2011.0,1000 tonnes,0.0,Im
Nepal,Processing,2011.0,1000 tonnes,0.0,Im
Niger,Processing,2011.0,1000 tonnes,0.0,Im
Nigeria,Processing,2011.0,1000 tonnes,0.0,Im
North Macedonia,Processing,2011.0,1000 tonnes,0.0,Im
Pakistan,Processing,2011.0,1000 tonnes,0.0,Im
Panama,Processing,2011.0,1000 tonnes,0.0,Im
Peru,Processing,2011.0,1000 tonnes,0.0,Im
Rwanda,Processing,2011.0,1000 tonnes,0.0,Im
Senegal,Processing,2011.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2011.0,1000 tonnes,0.0,Im
Syrian Arab Republic,Processing,2011.0,1000 tonnes,0.0,Im
Tajikistan,Processing,2011.0,1000 tonnes,0.0,Im
Uganda,Processing,2011.0,1000 tonnes,0.0,Im
Uzbekistan,Processing,2011.0,1000 tonnes,0.0,Im
